granule,date,bucket,key,year,month,day,path,row
LC08_L2SP_008056_20200102_20200823_02_T1,1/2/2020,processed-granules,landsat/008/056/2020/01/LC08_L2SP_008056_20200102_20200823_02_T1_NDVI_MASKED.TIF,2020,1,2,8,56
LC08_L2SP_008056_20200118_20200823_02_T1,1/18/2020,processed-granules,landsat/008/056/2020/01/LC08_L2SP_008056_20200118_20200823_02_T1_NDVI_MASKED.TIF,2020,1,18,8,56
LC08_L2SP_008056_20200203_20200823_02_T1,2/3/2020,processed-granules,landsat/008/056/2020/02/LC08_L2SP_008056_20200203_20200823_02_T1_NDVI_MASKED.TIF,2020,2,3,8,56
LC08_L2SP_008056_20200219_20200822_02_T1,2/19/2020,processed-granules,landsat/008/056/2020/02/LC08_L2SP_008056_20200219_20200822_02_T1_NDVI_MASKED.TIF,2020,2,19,8,56
LC08_L2SP_008056_20200306_20200822_02_T1,3/6/2020,processed-granules,landsat/008/056/2020/03/LC08_L2SP_008056_20200306_20200822_02_T1_NDVI_MASKED.TIF,2020,3,6,8,56
LC08_L2SP_008056_20200322_20200822_02_T1,3/22/2020,processed-granules,landsat/008/056/2020/03/LC08_L2SP_008056_20200322_20200822_02_T1_NDVI_MASKED.TIF,2020,3,22,8,56
LC08_L2SP_008056_20200407_20200822_02_T1,4/7/2020,processed-granules,landsat/008/056/2020/04/LC08_L2SP_008056_20200407_20200822_02_T1_NDVI_MASKED.TIF,2020,4,7,8,56
LC08_L2SP_008056_20200423_20200822_02_T1,4/23/2020,processed-granules,landsat/008/056/2020/04/LC08_L2SP_008056_20200423_20200822_02_T1_NDVI_MASKED.TIF,2020,4,23,8,56
LC08_L2SP_008056_20200509_20200820_02_T1,5/9/2020,processed-granules,landsat/008/056/2020/05/LC08_L2SP_008056_20200509_20200820_02_T1_NDVI_MASKED.TIF,2020,5,9,8,56
LC08_L2SP_008056_20200525_20200820_02_T1,5/25/2020,processed-granules,landsat/008/056/2020/05/LC08_L2SP_008056_20200525_20200820_02_T1_NDVI_MASKED.TIF,2020,5,25,8,56
LC08_L2SP_008056_20200610_20200823_02_T1,6/10/2020,processed-granules,landsat/008/056/2020/06/LC08_L2SP_008056_20200610_20200823_02_T1_NDVI_MASKED.TIF,2020,6,10,8,56
LC08_L2SP_008056_20200626_20200823_02_T1,6/26/2020,processed-granules,landsat/008/056/2020/06/LC08_L2SP_008056_20200626_20200823_02_T1_NDVI_MASKED.TIF,2020,6,26,8,56
LC08_L2SP_008056_20200712_20200912_02_T1,7/12/2020,processed-granules,landsat/008/056/2020/07/LC08_L2SP_008056_20200712_20200912_02_T1_NDVI_MASKED.TIF,2020,7,12,8,56
LC08_L2SP_008056_20200728_20200908_02_T1,7/28/2020,processed-granules,landsat/008/056/2020/07/LC08_L2SP_008056_20200728_20200908_02_T1_NDVI_MASKED.TIF,2020,7,28,8,56
LC08_L2SP_008056_20200813_20200919_02_T1,8/13/2020,processed-granules,landsat/008/056/2020/08/LC08_L2SP_008056_20200813_20200919_02_T1_NDVI_MASKED.TIF,2020,8,13,8,56
LC08_L2SP_008056_20200829_20200906_02_T1,8/29/2020,processed-granules,landsat/008/056/2020/08/LC08_L2SP_008056_20200829_20200906_02_T1_NDVI_MASKED.TIF,2020,8,29,8,56
LC08_L2SP_008056_20200914_20200919_02_T1,9/14/2020,processed-granules,landsat/008/056/2020/09/LC08_L2SP_008056_20200914_20200919_02_T1_NDVI_MASKED.TIF,2020,9,14,8,56
LC08_L2SP_008056_20200930_20201006_02_T1,9/30/2020,processed-granules,landsat/008/056/2020/09/LC08_L2SP_008056_20200930_20201006_02_T1_NDVI_MASKED.TIF,2020,9,30,8,56
LC08_L2SP_008056_20201016_20201105_02_T1,10/16/2020,processed-granules,landsat/008/056/2020/10/LC08_L2SP_008056_20201016_20201105_02_T1_NDVI_MASKED.TIF,2020,10,16,8,56
LC08_L2SP_008056_20201117_20210315_02_T2,11/17/2020,processed-granules,landsat/008/056/2020/11/LC08_L2SP_008056_20201117_20210315_02_T2_NDVI_MASKED.TIF,2020,11,17,8,56
LC08_L2SP_008056_20201203_20210313_02_T1,12/3/2020,processed-granules,landsat/008/056/2020/12/LC08_L2SP_008056_20201203_20210313_02_T1_NDVI_MASKED.TIF,2020,12,3,8,56
LC08_L2SP_008056_20201219_20210310_02_T1,12/19/2020,processed-granules,landsat/008/056/2020/12/LC08_L2SP_008056_20201219_20210310_02_T1_NDVI_MASKED.TIF,2020,12,19,8,56
